datecollected,siteid,sampleid,basisofrecord,minimumdepthinmeters,maximumdepthinmeters,taxaname,taxanameid,samplingeffort,parameter,parameter_value,parameter_standardunit
1994-12-15,I-A10,I-A10_19941215,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Benzo(a)pyrene,<4,µg/kg FW
1994-12-15,I-A10,I-A10_19941215,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Chrysene,<2.5,µg/kg FW
1994-12-15,I-A10,I-A10_19941215,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,"Benzo(g,h,i)perylene",<5,µg/kg FW
1994-12-15,I-A10,I-A10_19941215,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Fluoranthene,<7,µg/kg FW
1994-12-15,I-A10,I-A10_19941215,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Hexachlorobenzene,<0.2,µg/kg FW
1994-12-15,I-A10,I-A10_19941215,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Benzo(b)fluoranthene,<4,µg/kg FW
1994-12-15,I-A10,I-A10_19941215,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Phenanthrene,<7,µg/kg FW
1994-12-15,I-A10,I-A10_19941215,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Aldrin,<0.3,µg/kg FW
1994-12-15,I-A10,I-A10_19941215,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Dieldrin,<0.3,µg/kg FW
1994-12-15,I-A10,I-A10_19941215,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Gamma-HCH,<0.2,µg/kg FW
1994-12-15,I-A10,I-A10_19941215,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Benzo(a)anthracene,<4,µg/kg FW
1994-12-15,I-A10,I-A10_19941215,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,"Indeno(1,2,3-cd)pyrene",<2,µg/kg FW
1994-12-15,I-A10,I-A10_19941215,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,"p,p-DDT",<1,µg/kg FW
1994-12-15,I-A10,I-A10_19941215,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,p-p' DDE,<1,µg/kg FW
1994-12-15,I-A10,I-A10_19941215,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,p-p' DDD,<1,µg/kg FW
1994-12-15,I-A10,I-A10_19941215,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB52,<5,µg/kg FW
1994-12-15,I-A10,I-A10_19941215,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB28,<4,µg/kg FW
1994-12-15,I-A10,I-A10_19941215,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB180,8.41,µg/kg FW
1994-12-15,I-A10,I-A10_19941215,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB156,<4,µg/kg FW
1994-12-15,I-A10,I-A10_19941215,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB153,39.93,µg/kg FW
1994-12-15,I-A10,I-A10_19941215,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB138,14.94,µg/kg FW
1994-12-15,I-A10,I-A10_19941215,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB118,<4,µg/kg FW
1994-12-15,I-A10,I-A10_19941215,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB105,<6,µg/kg FW
1994-12-15,I-A10,I-A10_19941215,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB101,7.3,µg/kg FW
1994-12-15,I-A10,I-A10_19941215,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Pyrene,<8,µg/kg FW
1994-12-15,I-A10,I-A10_19941215,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Lead,1.24,mg/kg FW
1994-12-15,I-A10,I-A10_19941215,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Nickel,1.31,mg/kg FW
1994-12-15,I-A10,I-A10_19941215,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Mercury,<0.1,mg/kg FW
1994-12-15,I-A10,I-A10_19941215,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Cadmium,0.07,mg/kg FW
1994-12-15,I-A10,I-A10_19941215,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Zinc,51.4,mg/kg FW
1994-12-15,I-A10,I-A10_19941215,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Copper,1.95,mg/kg FW
1995-06-05,I-A10,I-A10_19950605,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Benzo(a)pyrene,<4,µg/kg FW
1995-06-05,I-A10,I-A10_19950605,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Chrysene,<2.5,µg/kg FW
1995-06-05,I-A10,I-A10_19950605,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,"Benzo(g,h,i)perylene",<5,µg/kg FW
1995-06-05,I-A10,I-A10_19950605,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Fluoranthene,<7,µg/kg FW
1995-06-05,I-A10,I-A10_19950605,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Hexachlorobenzene,<0.2,µg/kg FW
1995-06-05,I-A10,I-A10_19950605,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Benzo(b)fluoranthene,<4,µg/kg FW
1995-06-05,I-A10,I-A10_19950605,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Phenanthrene,<7,µg/kg FW
1995-06-05,I-A10,I-A10_19950605,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,alfa-HCH,<0.2,µg/kg FW
1995-06-05,I-A10,I-A10_19950605,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Dieldrin,<0.3,µg/kg FW
1995-06-05,I-A10,I-A10_19950605,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Gamma-HCH,0.43,µg/kg FW
1995-06-05,I-A10,I-A10_19950605,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Benzo(a)anthracene,<4,µg/kg FW
1995-06-05,I-A10,I-A10_19950605,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,"Indeno(1,2,3-cd)pyrene",<2,µg/kg FW
1995-06-05,I-A10,I-A10_19950605,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,"p,p-DDT",17.03,µg/kg FW
1995-06-05,I-A10,I-A10_19950605,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,p-p' DDE,<1,µg/kg FW
1995-06-05,I-A10,I-A10_19950605,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,p-p' DDD,<1,µg/kg FW
1995-06-05,I-A10,I-A10_19950605,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB52,<5,µg/kg FW
1995-06-05,I-A10,I-A10_19950605,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB28,<4,µg/kg FW
1995-06-05,I-A10,I-A10_19950605,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB180,14.33,µg/kg FW
1995-06-05,I-A10,I-A10_19950605,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB156,<4,µg/kg FW
1995-06-05,I-A10,I-A10_19950605,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB153,18.63,µg/kg FW
1995-06-05,I-A10,I-A10_19950605,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB138,<4,µg/kg FW
1995-06-05,I-A10,I-A10_19950605,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB118,<4,µg/kg FW
1995-06-05,I-A10,I-A10_19950605,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB105,<6,µg/kg FW
1995-06-05,I-A10,I-A10_19950605,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB101,12.69,µg/kg FW
1995-06-05,I-A10,I-A10_19950605,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Pyrene,<8,µg/kg FW
1995-06-05,I-A10,I-A10_19950605,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Lead,0.64,mg/kg FW
1995-06-05,I-A10,I-A10_19950605,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Nickel,0.06,mg/kg FW
1995-06-05,I-A10,I-A10_19950605,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Mercury,<0.1,mg/kg FW
1995-06-05,I-A10,I-A10_19950605,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Cadmium,0.08,mg/kg FW
1995-06-05,I-A10,I-A10_19950605,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Zinc,62,mg/kg FW
1995-06-05,I-A10,I-A10_19950605,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Copper,1.62,mg/kg FW
1996-01-04,I-A10,I-A10_19960104,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Benzo(a)pyrene,<4,µg/kg FW
1996-01-04,I-A10,I-A10_19960104,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Chrysene,<2.5,µg/kg FW
1996-01-04,I-A10,I-A10_19960104,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,"Benzo(g,h,i)perylene",<5,µg/kg FW
1996-01-04,I-A10,I-A10_19960104,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Fluoranthene,<7,µg/kg FW
1996-01-04,I-A10,I-A10_19960104,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Hexachlorobenzene,<0.2,µg/kg FW
1996-01-04,I-A10,I-A10_19960104,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Benzo(b)fluoranthene,<4,µg/kg FW
1996-01-04,I-A10,I-A10_19960104,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Phenanthrene,<7,µg/kg FW
1996-01-04,I-A10,I-A10_19960104,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,alfa-HCH,<0.2,µg/kg FW
1996-01-04,I-A10,I-A10_19960104,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Aldrin,<0.2,µg/kg FW
1996-01-04,I-A10,I-A10_19960104,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Dieldrin,<0.3,µg/kg FW
1996-01-04,I-A10,I-A10_19960104,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Gamma-HCH,<0.2,µg/kg FW
1996-01-04,I-A10,I-A10_19960104,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Benzo(a)anthracene,<4,µg/kg FW
1996-01-04,I-A10,I-A10_19960104,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,"Indeno(1,2,3-cd)pyrene",<2,µg/kg FW
1996-01-04,I-A10,I-A10_19960104,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,"p,p-DDT",<1,µg/kg FW
1996-01-04,I-A10,I-A10_19960104,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,p-p' DDE,<1,µg/kg FW
1996-01-04,I-A10,I-A10_19960104,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,p-p' DDD,<1,µg/kg FW
1996-01-04,I-A10,I-A10_19960104,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB52,<5,µg/kg FW
1996-01-04,I-A10,I-A10_19960104,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB28,<4,µg/kg FW
1996-01-04,I-A10,I-A10_19960104,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB180,<4,µg/kg FW
1996-01-04,I-A10,I-A10_19960104,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB156,<4,µg/kg FW
1996-01-04,I-A10,I-A10_19960104,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB153,10,µg/kg FW
1996-01-04,I-A10,I-A10_19960104,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB138,8.7,µg/kg FW
1996-01-04,I-A10,I-A10_19960104,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB118,5,µg/kg FW
1996-01-04,I-A10,I-A10_19960104,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB105,<6,µg/kg FW
1996-01-04,I-A10,I-A10_19960104,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB101,6,µg/kg FW
1996-01-04,I-A10,I-A10_19960104,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Pyrene,<8,µg/kg FW
1996-01-04,I-A10,I-A10_19960104,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Lead,0.78,mg/kg FW
1996-01-04,I-A10,I-A10_19960104,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Nickel,0.22,mg/kg FW
1996-01-04,I-A10,I-A10_19960104,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Mercury,<0.1,mg/kg FW
1996-01-04,I-A10,I-A10_19960104,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Chromium,0.1,mg/kg FW
1996-01-04,I-A10,I-A10_19960104,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Cadmium,<0.05,mg/kg FW
1996-01-04,I-A10,I-A10_19960104,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Zinc,387.26,mg/kg FW
1996-01-04,I-A10,I-A10_19960104,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Copper,2.92,mg/kg FW
1996-05-28,I-A10,I-A10_19960528,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Benzo(a)pyrene,<4,µg/kg FW
1996-05-28,I-A10,I-A10_19960528,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Chrysene,<2.5,µg/kg FW
1996-05-28,I-A10,I-A10_19960528,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Benzo(e)pyrene,<2,µg/kg FW
1996-05-28,I-A10,I-A10_19960528,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,"Benzo(g,h,i)perylene",<5,µg/kg FW
1996-05-28,I-A10,I-A10_19960528,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Fluoranthene,<7,µg/kg FW
1996-05-28,I-A10,I-A10_19960528,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Hexachlorobenzene,<0.2,µg/kg FW
1996-05-28,I-A10,I-A10_19960528,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Benzo(b)fluoranthene,<4,µg/kg FW
1996-05-28,I-A10,I-A10_19960528,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Phenanthrene,<7,µg/kg FW
1996-05-28,I-A10,I-A10_19960528,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,alfa-HCH,1.6,µg/kg FW
1996-05-28,I-A10,I-A10_19960528,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Aldrin,<0.3,µg/kg FW
1996-05-28,I-A10,I-A10_19960528,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Dieldrin,<0.3,µg/kg FW
1996-05-28,I-A10,I-A10_19960528,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Gamma-HCH,1.5,µg/kg FW
1996-05-28,I-A10,I-A10_19960528,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Benzo(a)anthracene,<4,µg/kg FW
1996-05-28,I-A10,I-A10_19960528,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,"Indeno(1,2,3-cd)pyrene",<2,µg/kg FW
1996-05-28,I-A10,I-A10_19960528,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,"p,p-DDT",<1,µg/kg FW
1996-05-28,I-A10,I-A10_19960528,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,p-p' DDE,1.4,µg/kg FW
1996-05-28,I-A10,I-A10_19960528,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,p-p' DDD,<1,µg/kg FW
1996-05-28,I-A10,I-A10_19960528,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB52,<5,µg/kg FW
1996-05-28,I-A10,I-A10_19960528,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB28,<4,µg/kg FW
1996-05-28,I-A10,I-A10_19960528,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB180,<4,µg/kg FW
1996-05-28,I-A10,I-A10_19960528,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB156,<4,µg/kg FW
1996-05-28,I-A10,I-A10_19960528,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB153,<6,µg/kg FW
1996-05-28,I-A10,I-A10_19960528,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB138,9.6,µg/kg FW
1996-05-28,I-A10,I-A10_19960528,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB118,18.9,µg/kg FW
1996-05-28,I-A10,I-A10_19960528,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB105,8.8,µg/kg FW
1996-05-28,I-A10,I-A10_19960528,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB101,4.4,µg/kg FW
1996-05-28,I-A10,I-A10_19960528,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Pyrene,<8,µg/kg FW
1996-05-28,I-A10,I-A10_19960528,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Lead,1.7,mg/kg FW
1996-05-28,I-A10,I-A10_19960528,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Nickel,0.09,mg/kg FW
1996-05-28,I-A10,I-A10_19960528,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Mercury,<0.1,mg/kg FW
1996-05-28,I-A10,I-A10_19960528,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Cadmium,0.1,mg/kg FW
1996-05-28,I-A10,I-A10_19960528,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Zinc,83.11,mg/kg FW
1996-05-28,I-A10,I-A10_19960528,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Copper,0.12,mg/kg FW
1996-12-02,I-A10,I-A10_19961202,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Benzo(a)pyrene,<4,µg/kg FW
1996-12-02,I-A10,I-A10_19961202,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Chrysene,<2.5,µg/kg FW
1996-12-02,I-A10,I-A10_19961202,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Benzo(e)pyrene,<2,µg/kg FW
1996-12-02,I-A10,I-A10_19961202,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,"Benzo(g,h,i)perylene",<5,µg/kg FW
1996-12-02,I-A10,I-A10_19961202,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Fluoranthene,<7,µg/kg FW
1996-12-02,I-A10,I-A10_19961202,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Hexachlorobenzene,<0.2,µg/kg FW
1996-12-02,I-A10,I-A10_19961202,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Benzo(b)fluoranthene,<4,µg/kg FW
1996-12-02,I-A10,I-A10_19961202,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Phenanthrene,<7,µg/kg FW
1996-12-02,I-A10,I-A10_19961202,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,alfa-HCH,<0.2,µg/kg FW
1996-12-02,I-A10,I-A10_19961202,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Aldrin,<0.3,µg/kg FW
1996-12-02,I-A10,I-A10_19961202,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Dieldrin,<0.3,µg/kg FW
1996-12-02,I-A10,I-A10_19961202,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Gamma-HCH,<0.2,µg/kg FW
1996-12-02,I-A10,I-A10_19961202,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Benzo(a)anthracene,<4,µg/kg FW
1996-12-02,I-A10,I-A10_19961202,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,"Indeno(1,2,3-cd)pyrene",<2,µg/kg FW
1996-12-02,I-A10,I-A10_19961202,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,"p,p-DDT",<1,µg/kg FW
1996-12-02,I-A10,I-A10_19961202,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,p-p' DDE,<1,µg/kg FW
1996-12-02,I-A10,I-A10_19961202,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,p-p' DDD,<1,µg/kg FW
1996-12-02,I-A10,I-A10_19961202,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB52,<5,µg/kg FW
1996-12-02,I-A10,I-A10_19961202,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB28,<4,µg/kg FW
1996-12-02,I-A10,I-A10_19961202,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB180,6.6,µg/kg FW
1996-12-02,I-A10,I-A10_19961202,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB156,<4,µg/kg FW
1996-12-02,I-A10,I-A10_19961202,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB153,<6,µg/kg FW
1996-12-02,I-A10,I-A10_19961202,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB138,<4,µg/kg FW
1996-12-02,I-A10,I-A10_19961202,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB118,<6,µg/kg FW
1996-12-02,I-A10,I-A10_19961202,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB105,<6,µg/kg FW
1996-12-02,I-A10,I-A10_19961202,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,PCB101,<4,µg/kg FW
1996-12-02,I-A10,I-A10_19961202,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Pyrene,<8,µg/kg FW
1996-12-02,I-A10,I-A10_19961202,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Lead,1.51,mg/kg FW
1996-12-02,I-A10,I-A10_19961202,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Nickel,1.35,mg/kg FW
1996-12-02,I-A10,I-A10_19961202,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Mercury,0.04,mg/kg FW
1996-12-02,I-A10,I-A10_19961202,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Chromium,0.92,mg/kg FW
1996-12-02,I-A10,I-A10_19961202,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Cadmium,0.38,mg/kg FW
1996-12-02,I-A10,I-A10_19961202,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Zinc,83.7,mg/kg FW
1996-12-02,I-A10,I-A10_19961202,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Copper,3.72,mg/kg FW
1997-05-21,I-A10,I-A10_19970521,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Benzo(a)pyrene,<4,µg/kg FW
1997-05-21,I-A10,I-A10_19970521,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Chrysene,<2.5,µg/kg FW
1997-05-21,I-A10,I-A10_19970521,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Benzo(e)pyrene,<2,µg/kg FW
1997-05-21,I-A10,I-A10_19970521,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,"Benzo(g,h,i)perylene",<5,µg/kg FW
1997-05-21,I-A10,I-A10_19970521,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Fluoranthene,<7,µg/kg FW
1997-05-21,I-A10,I-A10_19970521,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Hexachlorobenzene,<0.2,µg/kg FW
1997-05-21,I-A10,I-A10_19970521,Frozen Specimen,Intertidal,Intertidal,Mytilus galloprovincialis,140481,3 kg,Benzo(b)fluoranthene,<4,µg/kg FW
